image_path,detected_objects,max_confidence,image_category
data/raw/images/lobelia4cosmetics/22099.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22100.jpg,bottle,0.570781409740448,product_listing
data/raw/images/lobelia4cosmetics/22101.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22102.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22103.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22104.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22105.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22106.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22107.jpg,person,0.624140202999115,lifestyle_shot
data/raw/images/lobelia4cosmetics/22108.jpg,person,0.6789193153381348,lifestyle_shot
data/raw/images/lobelia4cosmetics/22109.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22110.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22111.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22112.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22113.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22114.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22115.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22116.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22117.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22118.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22119.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22120.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22121.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22122.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22123.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22124.jpg,bottle,0.8075851202011108,product_listing
data/raw/images/lobelia4cosmetics/22125.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22126.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22127.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22128.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22129.jpg,bottle,0.7326316237449646,product_listing
data/raw/images/lobelia4cosmetics/22130.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22131.jpg,person,0.7900387644767761,lifestyle_shot
data/raw/images/lobelia4cosmetics/22132.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22133.jpg,"person, refrigerator",0.8406544327735901,lifestyle_shot
data/raw/images/lobelia4cosmetics/22134.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22135.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22136.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22137.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22138.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22139.jpg,bottle,0.7326316237449646,product_listing
data/raw/images/lobelia4cosmetics/22140.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22141.jpg,person,0.7900387644767761,lifestyle_shot
data/raw/images/lobelia4cosmetics/22142.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22143.jpg,"person, refrigerator",0.8406544327735901,lifestyle_shot
data/raw/images/lobelia4cosmetics/22144.jpg,,0.0,unclassified
data/raw/images/lobelia4cosmetics/22145.jpg,bottle,0.8006813526153564,product_listing
data/raw/images/lobelia4cosmetics/22146.jpg,bottle,0.579176127910614,product_listing
data/raw/images/lobelia4cosmetics/22147.jpg,,0.0,unclassified
